id,customer_id_hash,transaction_type,earn_source,points,is_drink_purchase,drink_category,drink_price_jod,reward_id,created_at,expires_at,notes,role
36b1922e0006ddc49188dc7b0b27ed35d82c93d4dc1f45f649ff99909dc21cfd,70d6064fce0f3b2ef339b21edf9a549ee76c9bd381c9d6acce710131c03c921e,earn,Welcome Bonus,10,False,,,,2025-05-02 00:28:00,2025-10-29 00:28:00,Welcome to Raw Smith Circle!,customer
0d095324f374098a38d85ce0df5bb1b8932b06f19d6c989916080f515e78d124,2291349a28cfeb08cfc82c4b6dadf009426b7440f1c9fd833e824cf7955f7bcf,earn,Admin Adjustment (+),10,False,,,,2025-05-02 06:44:43,,Manual point grant,admin
43763d0be8329650131388099529d9f39ae150be40af0ee5608e2d451224446d,60f820ba362cdf9c342011859ceed333e5a1ae423a96d94e86be35cd376f153e,earn,Admin Adjustment (+),5,False,,,,2025-05-02 08:56:31,,Manual point grant,admin
9bf654080022ccdeb3575cd2730134e072eb41198c0a69e9d369c98c1dd1f479,cf673c3606a87b545a21752650d3688ce2bdf6193f2c23c12349e0aa23c95a04,earn,Admin Adjustment (+),10,False,,,,2025-05-02 12:50:07,,Manual point grant,admin
5235021b7fd4a99441d4d079c74a6d537730ac678d4c56aa1dd6f150531f78e2,eacacd00ff11f46719d582facbc7cbe4875e41b9ddd4b81a1838ac3b859ab353,earn,Admin Adjustment (+),10,False,,,,2025-05-02 13:09:18,,Manual point grant,admin
8336e72e5f74b18eb115ca13960cf1f10fe60b6f94730460a633716a31b05aa5,d986d685e1d3a09594b16db3eebf2daef9add0f9ce2a271f39eca9a3970931d7,earn,Admin Adjustment (+),30,False,,,,2025-05-02 13:37:28,,Manual point grant,admin
05f97555d2adbd453405da06528699b7fbfd16aa0200db4cf0a7b4404ad35391,37912de43d9f18b3701a95ddfd0a015a3541651913eeb1d0c84b01637ea6ea4c,earn,Admin Adjustment (+),5,False,,,,2025-05-03 11:56:54,,Manual point grant,admin
eebf5be59a84df921c96aa2dee32f0f72d7571d722b10dc17aedb3b3fc79a227,2291349a28cfeb08cfc82c4b6dadf009426b7440f1c9fd833e824cf7955f7bcf,earn,Admin Adjustment (+),10,False,,,,2025-05-04 06:38:42,,Manual point grant,admin
c907ea38e24c3e8e5b9dbe1a801ccd1946cc8a25cde16b0c66c6a0e3947f66c4,653fe1fc46ebbf17b5f3f8f8e3db7a01f33d401a21f9eebb57c3eb645aa20d7b,earn,Admin Adjustment (+),10,False,,,,2025-05-04 11:07:53,,Manual point grant,admin
943d562e1910e9986998c26a40f304ccab121bc2dfa7d6d88f670a5a85292d18,a5371be890f7605dad814a294a1aa6c890f61a4356f08d30ec0ab9ccf20da0f0,earn,Admin Adjustment (+),10,False,,,,2025-05-04 12:01:11,,Manual point grant,admin
2021b2f3010531311106511fc92f7b315ad56bed0d1311863c2254f1d77577ab,b88d8f57cbf74f97c48bf8e3a7ba52cab430ded920a6bed56278cd278f6b9c69,earn,Admin Adjustment (+),5,False,,,,2025-05-04 13:16:49,,Manual point grant,admin
e8ef2547d2a361b2f3abd51d78eb8b9cff07eb3ad3560c8538f5f3703086e4d2,ac735306a8aa503c7380285f162117b2991cfb026895d51c483d4ce6be2d39ba,earn,Admin Adjustment (+),10,False,,,,2025-05-04 16:30:59,,Manual point grant,admin
afaafa91d5e43a92ed01bc36a7eba31880a16bf3da737807b5f22f5ae770d828,050f2b8c6f0d503728dd5adf1a68e2a72d4b74b90e8d5d854c53df0eb44408e8,earn,Admin Adjustment (+),10,False,,,,2025-05-04 18:32:06,,Manual point grant,admin
bd3e1f3d59d375f583a1a435a8b875f6ee40a21857bca7e2a8bf59e3c4395818,f4e24a75f2e8c69ab9a3c08bcc3a6fa0ed93ff4b986afede1010ca8dd46eec45,earn,Admin Adjustment (+),15,False,,,,2025-05-05 03:42:32,,Manual point grant,admin
02c539850dfd9407b0b85ad48c8ac7bf4711281a28604c47385242f5306da95a,c267d04aa9fa8a039544def2e734d474d5be08ffce0088efbe1c26d4a45fc631,earn,Admin Adjustment (+),10,False,,,,2025-05-05 09:07:34,,Manual point grant,admin
b7d97f82aa747bfe73abddb22608f660950d819e250aed7a530dc06c948570c9,3f6c972319dbbe576cad2270b2237c43289f21ea736d29e0b1f2050d97b129f5,earn,Admin Adjustment (+),10,False,,,,2025-05-05 14:38:49,,Manual point grant,admin
