customer_id_hash,customer_code,membership_tier,current_points,total_points_earned,total_points_redeemed,coffee_adventure_level,role,created_at,updated_at
2458d43561e06ebe7f72979d78479f90916ab342444a8f9c3ec6e27469b90e45,RSC-5042,bronze,95,95,0,explorer,customer,2026-05-11 00:00:00,2026-05-11 00:00:00
7c3ed7730f0ca83a853404ec99d01be8ce4f75980f76d47d2b76d6bc1b87549e,RSC-245B,bronze,16,16,0,explorer,customer,2026-05-04 00:00:00,2026-05-04 00:00:00
dffedc0fbf486a8edadc0acf3efff1fde41025d2995bc9a1207f6cc1030e413c,RSC-CC24,bronze,10,10,0,explorer,customer,2026-05-03 00:00:00,2026-05-03 00:00:00
08e79d8d15491b3daa13f49786087a0d2cbc82161b48a7a07d87b80ff819edd2,RSC-037B,bronze,10,10,0,explorer,customer,2026-04-25 00:00:00,2026-04-25 00:00:00
1805cd18b610d4f0e9dd4aeac99d83d76551e1ac8e5495dcafe14397d94cb774,RSC-3602,bronze,60,60,0,explorer,customer,2026-04-23 00:00:00,2026-04-23 00:00:00
37912de43d9f18b3701a95ddfd0a015a3541651913eeb1d0c84b01637ea6ea4c,RSC-C6AA,bronze,52,52,0,explorer,customer,2026-04-23 00:00:00,2026-04-23 00:00:00
2d662ad03bcb6c818ea8cff3a82baf6d6208981b53b710e1eedf824b354f3251,RSC-BB4B,bronze,10,10,0,explorer,customer,2026-04-20 00:00:00,2026-04-20 00:00:00
0b967561b4dbe706e7b417df39203cdc52fbd9bd2d83dbf54ddec980282fb3b8,RSC-400C,bronze,150,150,0,explorer,customer,2026-04-18 00:00:00,2026-04-18 00:00:00
d93fbc85257c4367a197bfa2585ef581a41b8ac58589f0e5d49ddca1f29ae30d,RSC-DAC6,bronze,10,10,0,explorer,customer,2026-04-17 00:00:00,2026-04-17 00:00:00
642bad0b05be35764601abff87218350023d8b72a07b7c1ba32e3b4abd1e9474,RSC-0B44,bronze,10,10,0,explorer,customer,2026-04-17 00:00:00,2026-04-17 00:00:00
18e0783433151e660326d8275aee7875e5ca604f77102896bb9cc94e9e47d4ef,RSC-0041,bronze,40,40,0,explorer,customer,2026-04-07 00:00:00,2026-04-07 00:00:00
88335f2b1fde41da84a59a25f840bd94d4cefcbf99349229e6ad88b821772bd2,RSC-9356,bronze,18,18,0,explorer,customer,2026-04-01 00:00:00,2026-04-01 00:00:00
653bd4e27a0e2bcecc93867f9ae54547557991ed52efca77f6212455cedf81ae,RSC-0D89,bronze,22,22,0,explorer,customer,2026-03-31 00:00:00,2026-03-31 00:00:00
c097c34b1b28826e60f005af382b66c8c1d0c83dd812669ce00dea7ec79b33ff,RSC-0994,bronze,40,40,0,explorer,customer,2026-03-30 00:00:00,2026-03-30 00:00:00
fbc0fbaf9f7c1db7e8d8e0635efdb459cb2101912aced06504fa8b084dacdbdf,RSC-529D,bronze,28,28,0,explorer,customer,2026-03-28 00:00:00,2026-03-28 00:00:00
28fdcf56c3efb71adde36a9b085827c2a86594042e2cbf7bd17867f7897e2e1f,RSC-1E4D,bronze,176,176,0,explorer,customer,2026-03-05 00:00:00,2026-03-05 00:00:00
7702f6059a627113cde3f3ceae8b7655a5a2d2d03b3495de3f637e55532c1a10,RSC-22F7,bronze,94,94,0,explorer,customer,2026-02-27 00:00:00,2026-02-27 00:00:00
9f21a94829ef027ac0a2034b95d633140f069bf83dd7b64316283343eecd0d88,RSC-57C5,bronze,10,10,0,explorer,customer,2026-02-26 00:00:00,2026-02-26 00:00:00
