id,customer_id_hash,reward_id,points_spent,status,created_at,fulfilled_at,redemption_code,code_expires_at
366ea133ae8633c3baf26c8d9473a66cd44f467b5bd497beb8246f2b52ddde03,050f2b8c6f0d503728dd5adf1a68e2a72d4b74b90e8d5d854c53df0eb44408e8,2300562cdbefd09dc81a88309109acdf348b126d4815761a1d9bfada8fd9e1c3,100,fulfilled,2025-06-03 08:41:42,2025-06-05 05:41:42,,
1219d9e9e0262bd830417ab7fd3b131965f195afff5ba228d2f3adb0a636a8a6,653fe1fc46ebbf17b5f3f8f8e3db7a01f33d401a21f9eebb57c3eb645aa20d7b,efb97d5834959df9244650f15eb648a0700f4b38db57a9b969b71f3255e2378d,150,fulfilled,2025-06-03 14:55:50,2025-06-03 17:55:50,,
39f6d1a25659f6b773a4db6dd1a4237ea0cf26063c6fe9cee5b5e185237919fb,0c32258e3c936c2eaf222d8868d1d9ec998081e7dfa117e9876902dfed47d3d3,2300562cdbefd09dc81a88309109acdf348b126d4815761a1d9bfada8fd9e1c3,100,fulfilled,2025-06-05 12:30:18,2025-06-06 09:30:18,,
da625fff0aa4702b403c44f6d9b86b88cc9a9343e9a66603de65e16cd995665b,dc32e655c2abd3b8221175d18034d3be52f2142319021c4950ee84d4de1ae8eb,efb97d5834959df9244650f15eb648a0700f4b38db57a9b969b71f3255e2378d,150,fulfilled,2025-06-09 17:02:05,2025-06-10 13:02:05,,
96b606b15fd2c38ba542ccb224b9c56fce4b7cd4504178980a6bc475bcfda26c,cbe0cc2e3c71af739591c458f36d5c2a2bda23b5721a0dcaee07fe735823b2a6,efb97d5834959df9244650f15eb648a0700f4b38db57a9b969b71f3255e2378d,150,fulfilled,2025-06-13 12:44:38,2025-06-14 23:44:38,,
6a7b5c243c68d350cc9920955d7e8d7d0d1227ec54d46cf91433b7e6898707e8,d986d685e1d3a09594b16db3eebf2daef9add0f9ce2a271f39eca9a3970931d7,92510d23838b482e119ef2e012bc2ed5e233c1c0cd5e4dc24c997539db2b9fb2,350,fulfilled,2025-06-16 09:03:07,2025-06-18 00:03:07,,
c99d14014a3504b18fec9a688997dc118760f98d3faf7d357657447a25d10b73,0220f9d60e2ad771878c31761d837751815766ad45871aebd6c4275a613e03da,,75,expired,2025-07-04 11:14:24,,,
472aeff19975059c5ece62bd4d7972c8178c9809317f8cbf5b5ded837b17b3ff,d93fbc85257c4367a197bfa2585ef581a41b8ac58589f0e5d49ddca1f29ae30d,43b50b09854a2f536862716ce9c04e3b0c3c7815c478d869c1e8ad1264fd5f6a,200,fulfilled,2025-07-16 23:44:27,2025-07-18 18:44:27,,
d4d7adca546209eea95f6390302c410c5224b25646972503f4255b6b9b41eb40,d747f3147243b1b63899c9a5b0d1853ae4cb9e03f2a86a62241d6363ec4bf033,938aab7cb11b7cb716f9e882d80dc76f8340e97ddb53efbe2c640414f8fdc743,250,pending,2025-07-21 14:12:45,,,
b3eaddded3103b67cdcedf0709bd4f1e8c4d15c7f10d914ef89c653b3da7f5cc,25df2f1d5b8b23ef368fb24cab9daf584d896ed46a2301a8562844be9a7aecc2,43b50b09854a2f536862716ce9c04e3b0c3c7815c478d869c1e8ad1264fd5f6a,200,fulfilled,2025-07-22 18:11:55,2025-07-23 07:11:55,,
